PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
001cr,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1664,80,94,1603,bishopEndgame endgame mate mateIn1 oneMove,https://lichess.org/7FFNwibw/black#76,
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,820,119,68,257,bodenMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/1sV2Hr22#35,Sicilian_Defense Sicilian_Defense_Other_variations
001h8,2r3k1/2r4p/4p1p1/1p1q1pP1/p1bP1P1Q/P6R/5B2/2R3K1 b - - 5 34,c4e2 h4h7 c7h7 c1c8 g8g7 c8c7,1780,76,88,618,crushing deflection kingsideAttack long middlegame sacrifice,https://lichess.org/IxCahP6X/black#68,
001m3,7r/6k1/2b1pp2/8/P1N3p1/5nP1/4RP2/Q4K2 w - - 2 38,e2e6 h8h1 f1e2 h1a1,1467,76,87,271,advantage endgame short skewer,https://lichess.org/LELOz22f#75,
001om,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1018,80,89,224,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51,
001pC,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,f1g1 h3f2,786,78,100,239,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/d04UP3XD#35,Sicilian_Defense Sicilian_Defense_McDonnell_Attack
001u3,2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2175,81,55,80,advantage hangingPiece middlegame short,https://lichess.org/BBn6ipaK/black#66,
001uD,6k1/1p3pp1/1p5p/2r1p3/2n5/r3PN2/2RnNPPP/2R3K1 b - - 1 32,f7f6 f3d2 c4d2 c2d2 c5c1 e2c1,1930,74,92,926,advantage long middlegame,https://lichess.org/2qkVLUl6/black#64,
001w5,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1049,80,85,209,advancedPawn attraction mate mateIn2 middlegame promotion short,https://lichess.org/0e1vxAEn/black#58,
001wR,6nr/pp3p1p/k1p5/8/1QN5/2P1P3/4KPqP/8 b - - 5 26,b7b5 b4a5 a6b7 c4d6 b7b8 a5d8,1177,76,93,2578,endgame long mate mateIn3,https://lichess.org/ruvbd9JW/black#52,
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1196,76,93,182,mate mateIn1 middlegame oneMove,https://lichess.org/hNzYRMWP#33,Ruy_Lopez Ruy_Lopez_Bird_Variation
001wr,r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18,f2f3 d6c5 g1h1 c5c4,988,79,97,2292,advantage fork master masterVsMaster middlegame short,https://lichess.org/KnJ2mojX#35,Pirc_Defense Pirc_Defense_Classical_Variation
001xO,k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/PQRBPN2/5PPP/2R3K1 w - - 0 19,d3a6 b6c5 a6c8 c5c4,1776,75,92,1296,crushing master masterVsMaster middlegame sacrifice short,https://lichess.org/fNCePFgY#37,Slav_Defense Slav_Defense_Other_variations
001xl,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1154,79,94,11464,advantage endgame master masterVsMaster short skewer superGM,https://lichess.org/bEQkfPQD/black#80,
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,926,83,69,87,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/pHZnIFdb#47,
002Ds,8/1pp5/p2p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 b - - 0 45,b7b6 b4b5 c3d1 e3e2 a6b5 a5a6,1957,75,90,93,crushing endgame knightEndgame long,https://lichess.org/2SrvOtZN/black#90,
002GQ,5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/5RK1 w - - 0 28,f1c1 c3e2 g1f1 e2c1,655,81,73,133,crushing endgame fork short,https://lichess.org/2K7g2pDT#55,
002Hv,8/8/8/3N2p1/5b2/3p3P/5kP1/3K4 w - - 16 56,d5f4 g5f4 h3h4 f2g2 h4h5 f4f3 d1d2 f3f2,1589,89,63,23,advancedPawn crushing endgame veryLong,https://lichess.org/rLJ8Hp1v#111,
002IE,r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16,c6e5 d4e5 d6e7 e5f6,1219,86,63,32,advantage fork middlegame short,https://lichess.org/fDwvVUIp/black#32,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
002KJ,r3kb1r/ppq2ppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 b kq - 2 10,f8e7 f3e5 c7e5 e2g4,1647,77,93,1669,crushing discoveredAttack middlegame short,https://lichess.org/2NpTzh7O/black#20,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
002LF,7r/p2q1pk1/1pp3p1/8/6P1/4Q3/PP1R1P1r/5KN1 b - - 0 38,d7g4 e3e5 f7f6 e5c7 g7h6 c7h2,2205,78,89,464,advantage endgame interference long,https://lichess.org/md88dHiL/black#76,
002LW,3r1rk1/1b1n1pp1/3p4/p4PPQ/4P3/3q1BN1/8/2R2RK1 b - - 1 28,d7e5 f5f6 e5f3 f1f3,2464,88,78,115,advantage middlegame short,https://lichess.org/0khwj5dv/black#56,
002O7,r3qrk1/2p2pp1/p2bpn1p/2ppNb2/3P1P2/1PP1P1B1/P2N2PP/R2Q1RK1 b - - 0 14,f5g4 e5g4 f6g4 d1g4,968,93,91,348,crushing middlegame short,https://lichess.org/dFEPPiEc/black#28,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
002Q2,7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28,f4h6 f5g3,939,99,100,77,mate mateIn1 middlegame oneMove,https://lichess.org/yqAJ1jMv#55,
002Tf,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1576,75,84,169,advantage fork opening short,https://lichess.org/Zq56PwHK#13,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
002Ua,r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1RK1 w - - 0 16,g1h1 f6f4 d1f3 f4f3,1610,77,95,7668,crushing kingsideAttack middlegame short,https://lichess.org/06i3eMVp#31,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
002Uy,8/8/1p6/k7/P1R5/1K5r/8/8 w - - 26 64,c4c3 h3c3 b3c3 a5a4 c3b2 a4b4,1691,74,97,3616,crushing defensiveMove endgame long rookEndgame,https://lichess.org/sLU7YN1A#127,
002VP,8/6p1/2B1bn2/6k1/3B4/6K1/4P3/8 b - - 4 44,e6d5 d4f6 g5f5 c6d5,1420,79,38,132,crushing endgame short,https://lichess.org/7yJGEbUK/black#88,
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1237,99,69,50,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/Ek4aENjD/black#68,
002bK,8/7p/2b1k3/p2p1pPB/1n1P3P/N1p1P3/4K3/8 b - - 1 42,c6b5 a3b5 c3c2 e2d2,1139,75,93,800,advantage endgame hangingPiece short,https://lichess.org/IFGj8W5s/black#84,
002e5,r2q4/pp1n1kbp/3P2b1/6N1/6Q1/P3P3/6P1/4K2R b K - 1 21,f7g8 g4c4 g8h8 h1h7 g6h7 g5f7,2626,91,91,252,crushing long middlegame sacrifice,https://lichess.org/qaapuG48/black#42,
002p5,r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQNNPP1/R3K2R b KQ - 0 13,f6d5 c2h7 g8f8 h7h8,847,77,100,105,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/meSoQkhU/black#26,French_Defense French_Defense_Exchange_Variation
002rd,r6k/q1pb1p1p/1b3Pr1/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R2K1 b - - 1 25,d7e6 e2f4 c5d4 f4g6 f7g6 h5h6,1795,74,79,124,crushing kingsideAttack long middlegame pin,https://lichess.org/NcD6lul8/black#50,
002uV,r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P2Q1N2/BP3PPP/2R1R1K1 w - - 4 20,d3f5 e6f5 e1e7 c6e7,1631,76,87,73,advantage middlegame short,https://lichess.org/WKH5eIti#39,
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,437,88,100,410,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/KB7FAntf#115,
002xh,2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42,g6h4 c5b5 h4g2 b5a6 g2e3 a6b7,2074,101,54,31,crushing endgame long,https://lichess.org/TfRvsd3p/black#84,
0030b,6k1/5ppp/5nb1/pp6/6rP/5N1Q/Pq2r1P1/3R2RK b - - 4 32,g6e4 d1d8 f6e8 d8e8,892,78,100,94,backRankMate mate mateIn2 middlegame short,https://lichess.org/mhIZR6Mc/black#64,
00347,8/2p5/8/2pPk2p/8/4K2P/6P1/8 w - - 1 42,e3d3 h5h4 d3c4 e5d6,2252,76,86,118,crushing endgame pawnEndgame quietMove short,https://lichess.org/xFM0YP9S#83,
0039T,1r5r/p3kp2/4p2p/4P3/3R1Pp1/6P1/P1P4P/4K2R w K - 1 25,d4a4 b8b1 e1f2 b1h1 a4a7 e7f8,1025,88,94,790,crushing defensiveMove endgame long rookEndgame skewer,https://lichess.org/BrtVeJlj#49,
003AX,2r2rk1/5ppp/bq2p3/p1ppP1N1/Pb1P2P1/1P2P2P/2QN4/2R1K2R b K - 1 18,c5d4 c2h7,982,76,96,618,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kRgejRSt/black#36,French_Defense French_Defense_Advance_Variation
003IX,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1708,77,88,1790,endgame mate mateIn1 oneMove,https://lichess.org/576Btq56#85,
003Jb,6k1/3bqr1p/2rpp1pR/p7/Pp1QP3/1B3P2/1PP3P1/2KR4 w - - 6 22,d4a7 e7g5 c1b1 g5h6,993,81,90,391,advantage fork master middlegame short,https://lichess.org/8RvK0idj#43,
003S3,r4k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R b KQ - 2 15,a8b8 g5e6 f8g8 e6c7,1500,75,95,10860,advantage middlegame pin short,https://lichess.org/Eu6S0GPA/black#30,Modern_Defense Modern_Defense_Other_variations
003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1534,88,82,722,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53,
003UW,8/6pk/7p/2p5/2qp4/5PP1/P3QK1P/8 b - - 1 40,c4d5 e2e4 d5e4 f3e4,1484,76,94,892,advantage endgame queenEndgame short,https://lichess.org/cXMga3rb/black#80,
003YF,r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK1R1 w Q - 1 15,c1f4 h4f2,1081,87,79,68,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/5DK4vDDB#29,Mexican_Defense Mexican_Defense_Other_variations
003aS,8/8/5k1p/6p1/1R4PP/1p2KP2/8/1r6 w - - 0 43,h4h5 b3b2 b4b6 f6e5 f3f4 g5f4,1946,76,92,173,advancedPawn crushing defensiveMove endgame long rookEndgame,https://lichess.org/I7ZktFeR#85,
003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1156,79,88,1755,crushing exposedKing long middlegame skewer,https://lichess.org/n9vCFmKh/black#72,
003jH,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1067,78,89,315,crushing fork long middlegame,https://lichess.org/3CQGofXT#49,
003jb,r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11,c6c5 d4a4 a6b5 a4b5,960,85,95,2565,crushing fork master middlegame short,https://lichess.org/960EzUS0/black#22,French_Defense French_Defense_Classical_Variation
003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,1006,83,89,338,crushing endgame fork short,https://lichess.org/n0UvwK36#73,
003md,r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10,f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7,2155,78,84,210,crushing defensiveMove middlegame veryLong,https://lichess.org/ALtR2fxT#19,Russian_Game Russian_Game_Italian_Variation
003mh,r4k1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP5/1K2Q1NR b - - 1 23,a8e8 e1e8 f8e8 d5f6 e8e7 f6g4,1357,76,93,151,advantage attraction fork long middlegame sacrifice,https://lichess.org/HSa4keKZ/black#46,
003nQ,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1287,87,67,31,crushing kingsideAttack master middlegame pin short,https://lichess.org/p85fiZcl#57,
003o0,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1018,83,90,671,advantage fork master opening short,https://lichess.org/Ae0t9V1Z#17,Czech_Defense Czech_Defense_Other_variations
003r5,r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1107,77,88,859,crushing fork middlegame short,https://lichess.org/JPN97v7j#29,Kings_Gambit_Accepted Kings_Gambit_Accepted_Abbazia_Defense
003wQ,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1932,77,92,1966,advantage discoveredAttack middlegame pin short,https://lichess.org/W3wvnzlo#47,
0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,469,103,94,1328,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48,
00465,3r1Q1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 b - - 8 27,d8f8 f4f8,631,84,100,196,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/h21VtqGG/black#54,
0047P,8/1N3k2/6p1/8/2P3P1/pr6/R5K1/8 w - - 1 56,g2f1 b3b1 f1e2 b1b2 e2d1 b2a2,1769,75,86,89,crushing endgame exposedKing fork long master,https://lichess.org/Gb33KZKC#111,
0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1312,75,97,1550,crushing endgame exposedKing long rookEndgame,https://lichess.org/dq15P00L#69,
004Ao,4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41,g7f7 e8f7 e5h8 f8e7,1711,96,86,22,advantage endgame short,https://lichess.org/aFlzjb1K#81,
